"Year.of.Observation","Bairds beaked whale","Blainvilles beaked whale","Bottlenose dolphin","Cuviers beaked whale","Dalls porpoise","Fin whale","Gray whale","Harbor porpoise","Humpback whale","Hybrid","Killer whale","Long-beaked common dolphin","Minke whale","Northern right whale dolphin","Other","Pacific white-sided dolphin","Pygmy sperm whale","Rissos","Short-beaked common dolphin","Sperm whale","Stejnegers beaked whale","Striped dolphin","Unidentified"
2000,NA,NA,NA,NA,10,NA,25,7,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,6
2001,NA,NA,NA,1,7,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
2002,NA,NA,NA,1,7,4,5,11,NA,NA,3,NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,3
2003,2,NA,NA,NA,6,NA,5,35,1,NA,NA,NA,1,1,1,2,NA,NA,NA,1,1,1,5
2004,NA,NA,1,NA,16,NA,6,33,2,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,2,9
2005,NA,NA,NA,1,13,NA,16,30,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,2
2006,NA,NA,NA,2,6,2,14,65,2,NA,NA,NA,1,NA,1,3,1,NA,2,NA,NA,4,4
2007,NA,NA,NA,1,5,NA,8,50,2,1,1,NA,NA,1,1,1,NA,NA,1,2,NA,NA,8
2008,NA,NA,NA,2,NA,NA,4,53,4,NA,1,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,4
2009,NA,NA,NA,NA,5,2,10,67,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,4
2010,1,NA,1,NA,1,1,10,56,6,NA,2,1,1,NA,3,1,NA,NA,NA,1,NA,2,2
2011,NA,NA,1,NA,3,1,6,91,NA,1,2,NA,NA,NA,1,2,NA,NA,1,NA,NA,1,5
2012,NA,NA,1,NA,2,NA,3,116,1,NA,1,1,NA,1,NA,2,NA,NA,NA,2,NA,6,1
2013,NA,NA,NA,1,1,2,7,56,2,NA,1,NA,NA,NA,NA,1,NA,4,2,1,NA,1,2
2014,NA,NA,NA,NA,6,NA,10,97,5,NA,NA,NA,1,NA,1,3,NA,1,3,1,NA,7,3
2015,1,NA,NA,NA,5,NA,5,74,4,NA,1,1,NA,1,1,4,NA,1,2,NA,2,6,4
2016,NA,1,NA,NA,3,NA,8,67,6,NA,2,2,NA,2,1,4,1,NA,NA,1,NA,15,4
2017,1,NA,NA,NA,3,1,14,69,3,NA,1,2,1,1,NA,6,1,NA,1,2,NA,10,6
2018,NA,NA,NA,NA,1,NA,11,66,5,NA,2,1,NA,1,4,3,NA,NA,3,2,1,3,5
2019,NA,NA,NA,NA,3,NA,42,67,2,NA,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,3,1
