"","Cetacean.Common.Name","cnt"
"1","Bairds beaked whale",5
"2","Blainvilles beaked whale",1
"3","Bottlenose dolphin",4
"4","Cuviers beaked whale",9
"5","Dalls porpoise",103
"6","Fin whale",13
"7","Gray whale",210
"8","Harbor porpoise",1124
"9","Humpback whale",46
"10","Hybrid",2
"11","Killer whale",19
"12","Long-beaked common dolphin",9
"13","Minke whale",6
"14","Northern right whale dolphin",11
"15","Other",17
"16","Pacific white-sided dolphin",37
"17","Pygmy sperm whale",6
"18","Rissos",7
"19","Short-beaked common dolphin",16
"20","Sperm whale",23
"21","Stejnegers beaked whale",6
"22","Striped dolphin",61
"23","Unidentified",76
