"Year.of.Observation","cnt_all","strand_anom","cnt_HI","mean_HI","strand_anom_HI","MEI","NPGO","NOI","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom","CBA_South","CBA_North","Msquid_N","Herring","Anch","Sard"
2003,7.5,-5.66346153846154,1,3.24285714285714,-2.24285714285714,0.530818181818182,1.02524632181818,-0.935545454545455,1.02727272727273,11.6861818181818,12.0533636363636,105.198654545455,-30.0030272727273,-1.94748272727273,-0.0516910909090909,-0.119178618351346,-0.000360171646535305,0.144507012090909,-0.113501799636364,0.554979,0.547059,0.208543,0.393889
2004,19.5,-16.8,3.5,7.37857142857143,-3.87857142857143,0.47725,0.209460254416667,0.63375,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.3202445998446,0.565761509324009,0.1909891655,-0.195272805166667,0.306804,0.12362,1.19523,1.42007
2005,17,8.26666666666667,4,2.4,1.6,0.248222222222222,-1.32564490444444,0.539333333333333,0.21,12.1866666666667,12.7262222222222,82.0018444444444,-15.1113444444444,-2.26040555555556,-0.526458222222222,0.223503910903911,0.172370901320901,0.444407757333333,-0.514082560222222,0.124197,0.0738636,0.893062,0.237365
2006,18.4,1.98993006993007,3,3.89428571428571,-0.894285714285714,0.387857142857143,-0.709384058571429,1.33671428571429,0.0957142857142857,12.2885714285714,11.3135714285714,35.0422,-90.5123285714286,-0.695251428571429,2.29337314285714,0.184412820512821,-0.0868906593406594,0.126585981166667,0.0138631806666667,0.309274,0.0235695,0.124759,0.208015
2007,11.6666666666667,-2.29022181522182,2.33333333333333,3.3702380952381,-1.03690476190476,-0.2089,0.543357581,2.8539,-0.255,11.6651,11.6353,109.45004,-6.85343,-3.382629,0.0727369,-0.10711648018648,-0.291866188811189,-0.1060047719,0.0773006426,0.0719958,0.161659,0.285407,0.0882064
2008,16,-3.2349358974359,2.25,4.43035714285714,-2.18035714285714,-0.5232,1.577095836,2.0401,-1.374,11.0509,11.6178,142.04194,2.9365,-3.926046,-0.8010407,-0.82759648018648,-0.694766188811189,-0.1967337695,0.318723023,0.0419517,0.200486,0.126399,0.057719
2009,21.5,1.85,4.25,4.31428571428571,-0.0642857142857144,0.40475,0.7365307425,0.878833333333333,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.615422066822067,-0.45748849067599,-0.2374194025,0.1768950125,0.00938998,0.138635,0.329128,0.287237
2010,19.5,0.269230769230769,4,4.49285714285714,-0.492857142857143,-0.229,1.42360757272727,-0.232727272727273,-0.230909090909091,11.3578181818182,12.1286363636364,77.9505272727273,-45.1378090909091,-2.14105727272727,0.455001181818182,-0.447542254714982,0.0749125556261921,0.1927061025,-0.0133826731,0.133465,0.115225,0.328019,0.0955842
2011,25.5,5.61048951048951,5.75,4.36428571428571,1.38571428571429,-0.7065,0.851675165,1.89716666666667,-1.80833333333333,12.2718333333333,12.6581666666667,115.223466666667,-13.6744,-2.605775,-0.624060666666667,-0.26455170940171,-0.0165557692307692,-0.0666246466666667,0.214879791166667,0.234891,0.0312171,0.194404,0.202989
2012,41,16.3277777777778,9,5.33571428571429,3.66428571428571,-0.0467142857142857,1.32189523714286,1.08542857142857,-1.17571428571429,12.293,11.2512857142857,53.3601857142857,-62.5036285714286,-1.96400428571429,1.83901057142857,-0.015372893772894,-0.597604945054945,-0.0133182075714286,0.276970482857143,0.263308,0.0227416,0.150633,0.0521102
2013,14.2,-1.98666666666667,4.2,3.65142857142857,0.548571428571428,-0.0683333333333333,0.344294363333333,2.24308333333333,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.495172066822067,-0.211321824009324,-0.0751790466666667,0.260553116416667,0.168133,0.156574,0.119698,0.0544134
2014,15,4.48185980685981,3.44444444444444,2.63015873015873,0.814285714285714,0.4756,-0.294906407,-0.4087,0.934,12.6615,12.2301,125.56153,-17.94951,-2.594301,-0.1809957,0.941411853146853,0.164237144522145,-0.1185906482,0.2610911656,0.608195,0.359861,0.059999,0.00933975
2015,15.1666666666667,1.34253431753432,4.5,3.32857142857143,1.17142857142857,1.8565,-1.3972226,-1.56266666666667,1.39166666666667,12.7431666666667,13.1533333333333,146.125883333333,15.6402,-3.32028166666667,-1.90083416666667,1.03164753302253,0.582775796425796,0.47646475,-0.565546133333333,0.544955,0.0921354,0.0154068,0.00302598
2016,13.25,1.87959228271728,2.5,2.83392857142857,-0.333928571428571,2.039,0.111159508,-1.8076,2.13,12.5372,12.0552,34.32638,-88.08116,-0.76218,1.7221028,1.35338909090909,1.34061454545455,0.417941084,-1.31601074,0.450263,0.0479869,0.0265565,0.0138274
