"sci_name","cnt","perc"
"Phocoena phocoena",958,0.655
"Eschrichtius robustus",131,0.09
"Phocoenoides dalli",75,0.051
"NA NA",65,0.044
"Stenella coeruleoalba",52,0.036
"Megaptera novaeangliae",38,0.026
"Lagenorhynchus obliquidens",29,0.02
"Physeter macrocephalus",17,0.012
"Delphinus delphis",13,0.009
"Orcinus orca",13,0.009
"Balaenoptera physalus",9,0.006
"Lissodelphis borealis",9,0.006
"Delphinus capensis",7,0.005
"Grampus griseus",7,0.005
"Ziphius cavirostris",7,0.005
"Balaenoptera acutorostrata",6,0.004
"Berardius bairdii",5,0.003
"Kogia breviceps",5,0.003
"Tursiops truncatus",5,0.003
"Mesoplodon stejnegeri",3,0.002
"Balaenoptera edeni",2,0.001
"Mesoplodon densirostris",2,0.001
"Balaenoptera borealis",1,0.001
"Balaenoptera musculus",1,0.001
"Globicephala macrorhynchus",1,0.001
"Mesoplodon carlhubbsi",1,0.001
"Stenella attenuata",1,0.001
